GEOID10,profile,time_limit,average_num_poi,average_rating_poi
421010121001.0,foot,1200,217.4,3.1205151793928243
421010121002.0,car,600,7010.0,3.6284022824536377
421010121002.0,car,1800,28799.0,3.5627209278099934
421010121002.0,car,1200,18484.8,3.62382606249459
421010121002.0,pt,600,4.2,3.619047619047619
421010121002.0,pt,1800,320.4,3.283707865168539
421010121002.0,pt,1200,80.0,3.1075
421010121002.0,foot,600,3.2,3.6875
421010121002.0,foot,1800,180.2,3.1276359600443957
421010121002.0,foot,1200,32.6,3.220858895705521
421010334001.0,car,600,2273.8,3.3839387808954173
421010334001.0,car,1800,28120.0,3.5617567567567567
421010334001.0,car,1200,17471.6,3.5897570915085053
421010334001.0,pt,600,63.0,3.353968253968254
421010334001.0,pt,1800,1232.6,3.3260587376277786
421010334001.0,pt,1200,517.2,3.2637277648878578
421010334001.0,foot,600,51.6,3.4089147286821704
421010334001.0,foot,1800,301.6,3.276193633952255
421010334001.0,foot,1200,125.2,3.253993610223642
421010334002.0,car,600,2298.2,3.3691584718475327
421010334002.0,car,1800,28204.0,3.561945114168203
421010334002.0,car,1200,17844.4,3.594561879357109
421010334002.0,pt,600,53.8,3.2063197026022303
421010334002.0,pt,1800,1185.2,3.328720890988863
421010334002.0,pt,1200,524.8,3.2804878048780486
421010334002.0,foot,600,33.8,3.266272189349112
421010334002.0,foot,1800,331.4,3.327097163548582
421010334002.0,foot,1200,197.8,3.2093023255813957
421010334003.0,car,600,2435.2,3.383623521681997
421010334003.0,car,1800,28408.8,3.560389738390921
421010334003.0,car,1200,18069.0,3.5942055454092645
421010334003.0,pt,600,48.0,3.529166666666667
421010334003.0,pt,1800,1035.6,3.3223252220934723
421010334003.0,pt,1200,361.6,3.2964601769911503
421010334003.0,foot,600,55.6,3.5107913669064748
421010334003.0,foot,1800,303.2,3.33179419525066
421010334003.0,foot,1200,176.6,3.174971687429218
421010334004.0,car,600,2332.2,3.3805419775319443
421010334004.0,car,1800,28467.6,3.562186485688994
421010334004.0,car,1200,18304.6,3.599182719097932
421010334004.0,pt,600,85.0,3.06
421010334004.0,pt,1800,1070.0,3.3286915887850466
421010334004.0,pt,1200,501.0,3.307584830339321
421010334004.0,foot,600,71.0,3.045070422535211
421010334004.0,foot,1800,406.4,3.3083169291338583
421010334004.0,foot,1200,228.0,3.274122807017544
421010162001.0,car,600,8801.8,3.695323683791952
421010162001.0,car,1800,30001.2,3.5521479140834367
421010162001.0,car,1200,18732.2,3.6009758597495223
421010162001.0,pt,600,74.8,4.213903743315508
421010162001.0,pt,1800,5561.2,3.712040566784147
421010162001.0,pt,1200,1326.6,3.847731041760893
421010162001.0,foot,600,85.4,4.229508196721311
421010162001.0,foot,1800,969.8,3.920086615797072
421010162001.0,foot,1200,423.4,4.094709494567785
421010162002.0,car,600,9294.6,3.694317130376778
421010162002.0,car,1800,30369.0,3.551453785109816
421010162002.0,car,1200,19025.6,3.6041964510974687
421010162002.0,pt,600,26.0,3.892307692307692
421010162002.0,pt,1800,4171.4,3.712830224864554
421010162002.0,pt,1200,875.6,3.927820922795797
421010162002.0,foot,600,30.2,3.966887417218543
421010162002.0,foot,1800,986.4,3.873682076236821
421010162002.0,foot,1200,307.6,4.038361508452536
421010162003.0,car,600,9083.8,3.694456064642551
421010162003.0,car,1800,30183.0,3.5516847231885498
421010162003.0,car,1200,18899.6,3.6010709221359183
421010162003.0,pt,600,36.0,4.141666666666667
421010162003.0,pt,1800,4160.8,3.7119063641607375
421010162003.0,pt,1200,918.0,3.938562091503268
421010162003.0,foot,600,51.4,4.132295719844358
421010162003.0,foot,1800,980.0,3.9187755102040818
421010162003.0,foot,1200,373.4,4.113015532940547
421010375001.0,car,600,3503.2,3.598224480474994
421010375001.0,car,1800,27540.2,3.5705332568390933
421010375001.0,car,1200,17463.8,3.638274602320228
421010375001.0,pt,600,16.0,3.475
421010375001.0,pt,1800,1781.6,3.550123484508307
421010375001.0,pt,1200,333.8,3.5991611743559018
421010375001.0,foot,600,17.0,3.570588235294118
421010375001.0,foot,1800,140.2,3.3495007132667616
421010375001.0,foot,1200,43.0,3.474418604651163
421010375002.0,car,600,2884.8,3.587562396006656
421010375002.0,car,1800,26883.2,3.5763562373526963
421010375002.0,car,1200,17028.6,3.640857146212842
421010375002.0,pt,600,2.0,2.55
421010375002.0,pt,1800,473.4,3.4013519222644697
421010375002.0,pt,1200,81.8,3.317848410757946
421010375002.0,foot,600,4.0,3.475
421010375002.0,foot,1800,118.4,3.246621621621621
421010375002.0,foot,1200,61.4,3.3794788273615635
421019804001.0,car,600,1307.6,3.457096971550933
421019804001.0,car,1800,25750.2,3.5653858999153405
421019804001.0,car,1200,15000.2,3.6274316342448767
421019804001.0,pt,600,9.8,2.76530612244898
421019804001.0,pt,1800,47.2,2.7161016949152543
421019804001.0,pt,1200,24.2,2.673553719008265
421019804001.0,foot,600,27.4,2.7664233576642334
421019804001.0,foot,1800,69.6,2.7586206896551726
421019804001.0,foot,1200,50.0,2.724
421010203001.0,car,600,8179.6,3.6334784097021857
421010203001.0,car,1800,31412.4,3.553892730259388
421010203001.0,car,1200,19941.6,3.614404059854776
