GEOID10,profile,time_limit,average_area
421010072003.0,foot,1200,8721850.921834145
421010072003.0,pt,600,2172993.651741187
421010072003.0,pt,1800,51308192.76120792
421010072003.0,pt,1200,12534973.52552222
421010072004.0,car,600,190123509.46775848
421010072004.0,car,1800,3113248269.146659
421010072004.0,car,1200,1014062139.8832455
421010072004.0,foot,600,2182507.520643861
421010072004.0,foot,1800,20158066.12085169
421010072004.0,foot,1200,9010907.012599746
421010072004.0,pt,600,2507222.311363074
421010072004.0,pt,1800,53278067.716522425
421010072004.0,pt,1200,15354954.868347317
421010072005.0,car,600,189014544.12502843
421010072005.0,car,1800,3076192392.7445846
421010072005.0,car,1200,1000822900.1948324
421010072005.0,foot,600,2093632.1075040675
421010072005.0,foot,1800,19598075.23250315
421010072005.0,foot,1200,8864835.247824946
421010072005.0,pt,600,2171947.157520595
421010072005.0,pt,1800,54193979.591913424
421010072005.0,pt,1200,13229919.853235533
421010072006.0,car,600,184267519.73439947
421010072006.0,car,1800,2983212351.07034
421010072006.0,car,1200,974662569.2323973
421010072006.0,foot,600,1903233.2029160983
421010072006.0,foot,1800,18955970.84776377
421010072006.0,foot,1200,8203700.183332672
421010072006.0,pt,600,2244002.6612737603
421010072006.0,pt,1800,57357030.17087506
421010072006.0,pt,1200,16717544.258720482
421010285001.0,car,600,257962227.0188377
421010285001.0,car,1800,3402285430.3738704
421010285001.0,car,1200,1243086639.9994807
421010285001.0,foot,600,2102141.007196474
421010285001.0,foot,1800,21536565.77371574
421010285001.0,foot,1200,9213649.64335435
421010285001.0,pt,600,1778711.9457275558
421010285001.0,pt,1800,56521654.63888556
421010285001.0,pt,1200,14395740.352173084
