,isochrone,center,area_m2,avg_stars,choice,no_truck_length,distance_pool,avg_housing_price,foreclosure_count,foreclosure_over_area
364,421010111003-1200-car,"39.972252484959206,-75.22591884039616",1103989395.1956635,3.643419142922619,True,767844.8978152318,0.0,10688.0,2594,2.3496602515282835e-06
365,421010111003-1800-car,"39.972252484959206,-75.22591884039616",3172889027.7501583,3.6231535554792167,True,942103.599817193,0.0,12224.0,2854,8.994956883265857e-07
366,421010111003-600-pt,"39.972252484959206,-75.22591884039616",1947714.5810881166,3.176470588235294,False,506.472963187072,0.0004965775457657588,6208.0,28,1.4375822962909395e-05
367,421010111003-1200-pt,"39.972252484959206,-75.22591884039616",11181004.797590313,3.3346774193548385,True,11101.536506295386,0.0,6080.0,163,1.4578296222100641e-05
368,421010111003-1800-pt,"39.972252484959206,-75.22591884039616",43187644.934432454,3.455792682926829,True,39851.982819511955,0.0,8176.0,429,9.93339647603634e-06
405,421010111001-600-foot,"39.97706012947086,-75.21896321074453",697924.8109339043,3.4166666666666665,False,0.0,6.134065733788499e-06,27104.0,0,0.0
406,421010111001-1200-foot,"39.97706012947086,-75.21896321074453",4368153.336626149,3.1285714285714286,False,2780.387719731501,0.0,4608.0,14,3.20501569452991e-06
407,421010111001-1800-foot,"39.97706012947086,-75.21896321074453",13586245.732363764,3.331460674157303,True,8123.208294367587,0.0,5776.0,82,6.035515742562199e-06
408,421010111001-600-car,"39.97706012947086,-75.21896321074453",203058449.30309257,3.6568925660055966,True,174690.668626685,0.0,8800.0,1014,4.993636085964913e-06
409,421010111001-1200-car,"39.97706012947086,-75.21896321074453",1122557722.113039,3.6486727637742584,True,838651.4623335466,0.0,11200.0,2694,2.3998765915831635e-06
410,421010111001-1800-car,"39.97706012947086,-75.21896321074453",3250145458.503465,3.622905795111233,True,943148.0518495736,0.0,12224.0,2860,8.79960616075593e-07
411,421010111001-600-pt,"39.97706012947086,-75.21896321074453",408237.2437159644,2.6666666666666665,False,0.0,0.00029702026282142706,,0,0.0
412,421010111001-1200-pt,"39.97706012947086,-75.21896321074453",8026925.951970308,3.326388888888889,True,6730.173694890046,0.0,5472.0,48,5.979873277417965e-06
413,421010111001-1800-pt,"39.97706012947086,-75.21896321074453",34856297.15355032,3.471690895179801,True,38682.260743152416,0.0,7648.0,281,8.061671002003679e-06
450,421010112002-600-foot,"39.97236245875324,-75.23044134848065",2246557.036928898,3.375,False,0.0,0.0,6816.0,44,1.9585525440364134e-05
